time_s,phase,alpha_command_deg,alpha_actual_deg,theta_actual_deg,position_cm,velocity_cm_s,acceleration_m_s2
1.587999999999936,5.0,35.0,30.19598208880983,4.440204008239055,4.821347861531089,-4.488029441677256,-0.48203316543101843
1.5889999999999358,5.0,35.0,30.26461091611255,4.448679598114834,4.816811554043302,-4.536307487786756,-0.48278046109500655
1.5899999999999357,5.0,35.0,30.332259331596656,4.457022220092346,4.8122268954103875,-4.584658632914612,-0.4835114512785615
1.5909999999999356,5.0,35.0,30.398941341145274,4.465234077025439,4.807593814136613,-4.633081273773964,-0.48422640859351995
1.5919999999999355,5.0,35.0,30.464670750557485,4.473317333072725,4.802912240302753,-4.681573833860121,-0.48492560086156455
1.5929999999999354,5.0,35.0,30.529461168406662,4.481274114399987,4.798182105539773,-4.7301347629802555,-0.48560929120134355
1.5939999999999352,5.0,35.0,30.593326008857996,4.489106509870593,4.793403343002981,-4.778762536791664,-0.4862777381140927
1.5949999999999351,5.0,35.0,30.65627849444574,4.496816571723853,4.788575887346632,-4.827455656348439,-0.4869311955677524
1.595999999999935,5.0,35.0,30.7183316588108,4.504406316241642,4.783699674698976,-4.876212647656401,-0.487569913079621
1.596999999999935,5.0,35.0,30.77949834939922,4.51187772440338,4.77877464263774,-4.925032061236157,-0.48819413579755483
1.5979999999999348,5.0,35.0,30.83979123012209,4.519232742529464,4.773800730166046,-4.97391247169413,-0.48880410457972967
1.5989999999999347,5.0,35.0,30.899222783977486,4.52647328291337,4.768777877688744,-5.022852477301429,-0.4894000560729885
1.5999999999999346,5.0,35.0,30.95780531563495,4.533601224442593,4.763706026989164,-5.071850699580409,-0.4899822227897986
1.6009999999999345,5.0,35.0,31.015550953983023,4.540618413208518,4.758585121206265,-5.1209057828987925,-0.49055083318383036
1.6019999999999344,5.0,35.0,31.07247165464041,4.547526663105399,4.753415104812194,-5.17001639407121,-0.4911061117241781
1.6029999999999343,5.0,35.0,31.12857920243126,4.554327756418649,4.748195923590226,-5.219181221968035,-0.49164827896825036
1.6039999999999341,5.0,35.0,31.1838852138251,4.561023444402506,4.742927524613095,-5.268398977131369,-0.4921775516333378
1.604999999999934,5.0,35.0,31.238401139341885,4.567615447847327,4.737609856221696,-5.317668391398057,-0.4926941426668902
1.605999999999934,5.0,35.0,31.292138265922716,4.574105457636577,4.732242868004167,-5.366988217529609,-0.4931982613155106
1.6069999999999338,5.0,35.0,31.34510771926668,4.580495135293766,4.726826510775318,-5.416357228848878,-0.4936901131926992
1.6079999999999337,5.0,35.0,31.397320466134296,4.586786113519331,4.721360736556434,-5.465774218883413,-0.4941699003453465
1.6089999999999336,5.0,35.0,31.44878731661809,4.5929799967178635,4.71584549855542,-5.515238001015316,-0.4946378213190274
1.6099999999999335,5.0,35.0,31.49951892638069,4.599078361515531,4.710280751147282,-5.5647474081375226,-0.4950940712220727
1.6109999999999334,5.0,35.0,31.549525798860966,4.605082757268157,4.704666449854965,-5.614301292316371,-0.49553884178848306
1.6119999999999333,5.0,35.0,31.598818287448665,4.610994706559806,4.699002551330505,-5.663898524460338,-0.4959723214396615
1.6129999999999332,5.0,35.0,31.64740659762797,4.616815705692302,4.693289013336511,-5.71353799399484,-0.49639469534501895
1.613999999999933,5.0,35.0,31.695300789090428,4.622547225165652,4.687525794727968,-5.763218608542984,-0.49680614548145025
1.614999999999933,5.0,35.0,31.742510777817706,4.628190710149559,4.6817128554343554,-5.812939293612155,-0.4972068506917041
1.6159999999999328,5.0,35.0,31.789046338134597,4.633747580946192,4.67585015644207,-5.8626989922863215,-0.49759698674166686
1.6169999999999327,5.0,35.0,31.834917104732675,4.63921923344442,4.669937659777145,-5.91249666492398,-0.4979767263765856
1.6179999999999326,5.0,35.0,31.880132574665065,4.644607039565479,4.6639753284882834,-5.962331288861603,-0.4983462393762295
1.6189999999999325,5.0,35.0,31.924702109312708,4.649912347700425,4.657963126630161,-6.012201858122506,-0.4987056926090305
1.6199999999999324,5.0,35.0,31.968634936322527,4.6551364831393585,4.651901019247029,-6.062107383131026,-0.49905525008520235
1.6209999999999323,5.0,35.0,32.01194015151792,4.6602807484926565,4.645788972356598,-6.112046890431913,-0.49939507300886943
1.6219999999999322,5.0,35.0,32.05462672078195,4.665346424104246,4.639626952934183,-6.162019422414834,-0.4997253198292072
1.622999999999932,5.0,35.0,32.096703481913636,4.670334768457247,4.633414928897139,-6.212024037043897,-0.5000461462906363
1.623999999999932,5.0,35.0,32.13817914645772,4.675247018571838,4.627152869089548,-6.262059807592102,-0.5003577054820522
1.6249999999999318,5.0,35.0,32.179062301508324,4.6800843903957805,4.620840743267167,-6.312125822380617,-0.5006601478851445
1.6259999999999317,5.0,35.0,32.21936141148678,4.684848079187525,4.614478522082644,-6.362221184522797,-0.5009536214217959
